"place","name"
"0100124","Abbeville city"
"0100460","Adamsville city"
"0100484","Addison town"
"0100676","Akron town"
"0100820","Alabaster city"
"0100988","Albertville city"
"0101132","Alexander City city"
"0101228","Aliceville city"
"0101396","Allgood town"
"0101660","Altoona town"
"0101708","Andalusia city"
"0101756","Anderson town"
"0101852","Anniston city"
"0102116","Arab city"
"0102260","Ardmore town"
"0102320","Argo town"
"0102428","Ariton town"
"0102500","Arley town"
"0102836","Ashford city"
"0102860","Ashland town"
"0102908","Ashville town"
"0102956","Athens city"
"0103004","Atmore city"
"0103028","Attalla city"
"0103076","Auburn city"
"0103220","Autaugaville town"
"0103364","Avon town"
"0103556","Babbie town"
"0103676","Baileyton town"
"0103940","Banks town"
"0104660","Bay Minette city"
"0104684","Bayou La Batre city"
"0104852","Bear Creek town"
"0104900","Beatrice town"
"0104948","Beaverton town"
"0105164","Belk town"
"0105692","Benton town"
"0105932","Berry town"
"0105980","Bessemer city"
"0106460","Billingsley town"
"0107000","Birmingham city"
"0107120","Black town"
"0107456","Blountsville town"
"0107552","Blue Mountain town"
"0107588","Blue Ridge CDP"
"0107672","Blue Springs town"
"0107912","Boaz city"
"0108104","Boligee town"
"0108248","Bon Air town"
"0108920","Branchville town"
"0109016","Brantley town"
"0109136","Brent city"
"0109208","Brewton city"
"0109328","Bridgeport city"
"0109400","Brighton city"
"0109424","Brilliant town"
"0109736","Brookside town"
"0109808","Brookwood town"
"0110240","Brundidge city"
"0111032","Butler city"
"0111128","Bynum CDP"
"0111248","Cahaba Heights CDP"
"0111416","Calera city"
"0111512","Camden town"
"0111680","Camp Hill town"
"0112016","Carbon Hill city"
"0112040","Cardiff town"
"0112160","Carolina town"
"0112304","Carrollton town"
"0112496","Castleberry town"
"0112760","Cedar Bluff town"
"0113264","Center Point CDP"
"0113648","Centre city"
"0113672","Centreville city"
"0114008","Chatom town"
"0114104","Chelsea CDP"
"0114152","Cherokee town"
"0114392","Chickasaw city"
"0114464","Childersburg city"
"0115064","Citronelle city"
"0115136","Clanton city"
"0115304","Clayhatchee town"
"0115376","Clayton town"
"0115472","Cleveland town"
"0115640","Clio town"
"0116240","Coffee Springs town"
"0116264","Coffeeville town"
"0116600","Collinsville town"
"0116684","Colony town"
"0116744","Columbia town"
"0116768","Columbiana city"
"0117176","Coosada town"
"0117368","Cordova city"
"0117824","Cottonwood town"
"0117968","County Line town"
"0117992","County Line town"
"0118040","Courtland town"
"0118088","Cowarts town"
"0118304","Creola city"
"0118856","Crossville town"
"0118952","Cuba town"
"0118976","Cullman city"
"0119336","Dadeville city"
"0119360","Daleville city"
"0119648","Daphne city"
"0119744","Dauphin Island town"
"0119816","Daviston town"
"0119912","Dayton town"
"0120104","Decatur city"
"0120296","Demopolis city"
"0120392","Detroit town"
"0121136","Dora city"
"0121184","Dothan city"
"0121280","Double Springs town"
"0121328","Douglas town"
"0121448","Dozier town"
"0121952","Dutton town"
"0122216","East Brewton city"
"0122816","Eclectic town"
"0123176","Edwardsville town"
"0123296","Elba city"
"0123320","Elberta town"
"0123344","Eldridge town"
"0123488","Elkmont town"
"0123872","Emelle town"
"0124184","Enterprise city"
"0124256","Epes town"
"0124472","Ethelsville town"
"0124568","Eufaula city"
"0124616","Eunola town"
"0124664","Eutaw city"
"0124688","Eva town"
"0124808","Evergreen city"
"0124880","Excel town"
"0125120","Fairfield city"
"0125240","Fairhope city"
"0125384","Fairview town"
"0125648","Falkville town"
"0125816","Faunsdale town"
"0125840","Fayette city"
"0126200","Five Points town"
"0126800","Flint City town"
"0126824","Flomaton town"
"0126848","Florala city"
"0126896","Florence city"
"0126992","Foley city"
"0127088","Forestdale CDP"
"0127376","Forkland town"
"0127520","Fort Deposit town"
"0127544","Fort McClellan CDP"
"0127616","Fort Payne city"
"0127640","Fort Rucker CDP"
"0128024","Franklin town"
"0128312","Frisco City town"
"0128432","Fruithurst city"
"0128504","Fulton town"
"0128552","Fultondale city"
"0128672","Fyffe town"
"0128696","Gadsden city"
"0128768","Gainesville town"
"0128936","Gantt town"
"0128984","Gantts Quarry town"
"0129032","Garden City town"
"0129056","Gardendale city"
"0129296","Gaylesville town"
"0129392","Geiger town"
"0129464","Geneva city"
