Array Size,Algorithm,Time
128,Selection,0,00300
128,Insertion,0,00000
128,Shell,0,00100
256,Selection,0,00300
256,Insertion,0,00300
256,Shell,0,00100
512,Selection,0,01200
512,Insertion,0,00900
512,Shell,0,00200
1024,Selection,0,04400
1024,Insertion,0,03600
1024,Shell,0,00200
2048,Selection,0,08700
2048,Insertion,0,02400
2048,Shell,0,00400
4096,Selection,0,23100
4096,Insertion,0,09600
4096,Shell,0,00300
8192,Selection,0,84900
8192,Insertion,0,34200
8192,Shell,0,01000
16384,Selection,2,85900
16384,Insertion,1,58500
16384,Shell,0,02100
